code,term
139941000119104,History of endovascular stent graft for repair of abdominal aortic aneurysm
140631000119109,History of repair of dissecting abdominal aortic aneurysm
14336007,Ruptured abdominal aortic aneurysm
155422008,Abdominal aortic aneurysm
175282008,Repair of aortic aneurysm using bifurcation graft
175283003,Emergency replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to femoral artery
175284009,Replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to femoral artery
175285005,Emergency Y graft abdominal Aortic aneurysm (& aortoiliac)
175286006,Y graft abdominal Aortic aneurysm (& aortoiliac)
175287002,Other specified replacement of aneurysmal bifurcation of aorta
175288007,Replacement of aneurysmal bifurcation of aorta NOS
175300001,Emergency replacement of aneurysmal segment of suprarenal abdominal aorta by anastomosis of aorta to aorta
175301002,Emergency replacement of aneurysmal segment of infrarenal abdominal aorta by anastomosis of aorta to aorta
175302009,Emergency tube graft abdominal aortic aneurysm (& NEC)
175309000,Replacement of aneurysmal segment of suprarenal abdominal aorta by anastomosis of aorta to aorta NEC
175310005,Replacement of aneurysmal segment of infrarenal abdominal aorta by anastomosis of aorta to aorta NEC
175311009,Tube graft abdominal aortic aneurysm (& NEC)
195260008,Ruptured suprarenal aortic aneurysm
195261007,Abdominal aortic aneurysm without mention of rupture
195262000,Juxtarenal aortic aneurysm
195263005,Inflammatory abdominal aortic aneurysm
195265003,"Thoracoabdominal aortic aneurysm, ruptured"
195267006,"Thoracoabdominal aortic aneurysm, without mention of rupture"
195268001,Leaking abdominal aortic aneurysm
21574003,Repair of aneurysm of abdominal aorta with graft
224441000000100,Endovascular stenting of infrarenal abdominal aortic aneurysm
225041000000107,Endovascular stenting of aorto-uniiliac aneurysm
225351000000108,Endovascular stenting of suprarenal aortic aneurysm
233374003,Y graft of abdominal aortic aneurysm - emergency
233376001,Repair of aortic aneurysm using straight graft
233377005,Tube graft abdominal aortic aneurysm - emergency
233984007,Thoracoabdominal aortic aneurysm
233985008,Abdominal aortic aneurysm
23617000,Repair of ruptured aneurysm of abdominal aorta with graft
260321000000102,Endovascular stenting of infrarenal abdominal aortic aneurysm 
260331000000100,Endovascular stenting of suprarenal aortic aneurysm 
260371000000103,Endovascular stenting of aorto-uniiliac aneurysm 
265492000,Emergency replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to iliac artery
265493005,Replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to iliac artery
265496002,Emergency replacement of aneurysmal segment of abdominal aorta by anastomosis of aorta to aorta NEC
265498001,Replacement of aneurysmal segment of abdominal aorta by anastomosis of aorta to aorta NEC
275037003,Repair of aortic aneurysm using Y graft
281271000000103,Endovascular insertion of stent graft for infrarenal abdominal aortic aneurysm
281281000000101,Endovascular insertion of stent graft for suprarenal aortic aneurysm
281301000000100,Endovascular insertion of stent graft for aorto-uniiliac aneurysm
283271000000102,Endovascular stenting for aortic aneurysm of bifurcation NEC
28856006,Repair of ruptured aneurysm of abdominal aorta involving iliac vessels with graft
289971000000108,Endovascular stenting for aortic aneurysm of bifurcation NEC
289981000000105,Endovascular stenting of aorto-uniiliac aneurysm
290001000000106,Endovascular insertion of stent graft for infrarenal abdominal aortic aneurysm
290011000000108,Endovascular insertion of stent graft for suprarenal aortic aneurysm
290051000000107,Endovascular insertion of stent graft for aorto-uniiliac aneurysm
307701005,Abdominal aortic aneurysm stenting
314184006,Ruptured suprarenal aortic aneurysm
314185007,Juxtarenal aortic aneurysm
314186008,Inflammatory abdominal aortic aneurysm
315295003,Recurrent abdominal aortic aneurysm
315362007,Repair of thoracoabdominal aortic aneurysm
378471000000105,Repair of infrarenal abdominal aortic aneurysm with insertion of endovascular stent
378481000000107,Repair of suprarenal abdominal aortic aneurysm with insertion of endovascular stent
405525004,Repair of aneurysm of abdominal aorta
425771001,Enlarging abdominal aortic aneurysm
426270006,Aneurysm of suprarenal aorta
428809009,Endovascular repair of aorto-uniiliac aneurysm using endovascular stent graft
429167002,Endovascular repair of infrarenal abdominal aortic aneurysm using endovascular stent graft
429205001,History of repair of aneurysm of abdominal aorta
429706004,Endovascular repair of suprarenal aortic aneurysm using endovascular stent graft
430168009,History of stable aneurysm of abdominal aorta
438361005,Endovascular repair of abdominal aortic aneurysm with insertion of visceral extension prosthesis
441612006,Repair of infrarenal abdominal aortic aneurysm with insertion of endovascular stent
442125002,Repair of aneurysm of suprarenal abdominal aorta with insertion of endovascular stent
444569004,Aneurysm of infrarenal abdominal aorta
444588006,Endovascular repair of abdominal aortic aneurysm
444701000,Dissecting aneurysm of thoracoabdominal aorta
488701000000108,Endovascular insertion of stent for infrarenal abdominal aortic aneurysm 
488711000000105,Endovascular insertion of stent for suprarenal aortic aneurysm 
488741000000106,Endovascular insertion of stent for aortic aneurysm of bifurcation NEC 
488751000000109,Endovascular stenting of aorto-uniiliac aneurysm 
50075004,Repair of aneurysm of abdominal aorta involving iliac vessels with graft
530151000000109,Abdominal aortic aneurysm without mention of rupture
530161000000107,"Thoracoabdominal aortic aneurysm, without mention of rupture"
56834002,Repair of aneurysm of abdominal aorta involving visceral vessels with graft
580231000000101,Replacement of aneurysmal segment of infrarenal abdominal aorta by anastomosis of aorta to aorta NEC
591201000000102,Replacement of aneurysmal segment of suprarenal abdominal aorta by anastomosis of aorta to aorta NEC
593411000000102,Other specified replacement of aneurysmal bifurcation of aorta
593421000000108,Replacement of aneurysmal bifurcation of aorta NOS
608873006,Open repair of thoracoabdominal aortic aneurysm
695441000000109,Emergency replacement of aneurysmal segment of abdominal aorta by anastomosis of aorta to aorta NEC
698992006,Emergency repair of ruptured infrarenal abdominal aortic aneurysm
698994007,Emergency repair of ruptured suprarenal abdominal aortic aneurysm
698995008,Elective repair of infrarenal abdominal aortic aneurysm
698996009,Elective repair of suprarenal abdominal aortic aneurysm
699102006,Repair of aneurysm of abdominal aorta with insertion of endovascular stent
699114003,Endovascular repair of abdominal aortic aneurysm using fluoroscopic guidance with contrast
699665007,Repair of dissecting abdominal aortic aneurysm
699667004,Endovascular repair of abdominal aortic aneurysm using endovascular stent graft
700418003,Hand-assisted laparoscopic repair of aneurysm of abdominal aorta
701731000000104,Replacement of aneurysmal segment of abdominal aorta by anastomosis of aorta to aorta NEC
705015009,Endovascular repair of aneurysm of bifurcation of aorta using endovascular stent graft
715364001,Familial abdominal aortic aneurysm
715571000000109,Infrarenal abdominal aortic aneurysm
725367007,History of repair of dissection of abdominal aorta
725368002,Repair of dissection of abdominal aorta
735576008,Perforation of abdominal aorta co-occurrent and due to aneurysm of abdominal aorta
735577004,Perforation of thoracoabdominal aorta co-occurrent and due to aneurysm of thoracoabdominal aorta
750841000000102,Endovascular repair of abdominal aortic aneurysm using fluoroscopic guidance
756281000000109,Aneurysm of suprarenal aorta
756641000000104,Infrarenal abdominal aortic aneurysm
758061000000105,Aneurysm of suprarenal aorta
75878002,Abdominal aortic aneurysm without rupture
771453009,Repair of abdominal aortic aneurysm with insertion of stent
795681000000108,Endovascular insertion of stent graft for aneurysm of aortic bifurcation
796341000000100,Endovascular insertion of stent for aneurysm of aortic bifurcation
840621000000109,Laparoscopic repair of abdominal aortic aneurysm
871536000,Aneurysm of pararenal aorta
879161000000103,Laparoscopic hand assisted repair of abdominal aortic aneurysm
