code,term
1010333003,Emphysema of left lung
1010334009,Emphysema of right lung
106001000119101,Chronic obstructive pulmonary disease with acute bronchitis
12295008,Bronchiectasis
135836000,End stage chronic obstructive pulmonary disease
13645005,Chronic obstructive pulmonary disease
16003001,Giant bullous emphysema
16846004,Obstructive emphysema
1751000119100,Acute exacerbation of chronic obstructive pulmonary disease with asthma
185086009,Chronic obstructive bronchitis
195951007,Acute exacerbation of chronic obstructive pulmonary disease
195953005,Mixed simple and mucopurulent chronic bronchitis
195957006,Chronic bullous emphysema
195958001,Segmental bullous emphysema
195959009,Zonal bullous emphysema
195984007,Recurrent bronchiectasis
195985008,Post-infective bronchiectasis
196001008,Chronic obstructive pulmonary disease with acute lower respiratory infection
196026004,Chronic emphysema caused by chemical fumes
23022004,Tuberculous bronchiectasis
233627004,Congenital cystic bronchiectasis
233628009,Acquired bronchiectasis
233629001,Idiopathic bronchiectasis
233630006,Obstructive bronchiectasis
233631005,Toxin-induced bronchiectasis
233632003,Bronchiectasis due to aspiration of toxic substance
233633008,Bronchiectasis due to inhalation of toxic substance
233674008,Pulmonary emphysema in alpha-1 primary immunodeficiency deficiency
233675009,Toxic emphysema
233677001,Scar emphysema
266355005,Bullous emphysema with collapse
266356006,Atrophic (senile) emphysema
285381006,Acute infective exacerbation of chronic obstructive pulmonary disease
2912004,Cystic-bullous disease of the lung
293241000119100,Acute exacerbation of chronic obstructive bronchitis
293991000000106,Very severe chronic obstructive pulmonary disease
313296004,Mild chronic obstructive pulmonary disease
313297008,Moderate chronic obstructive pulmonary disease
313299006,Severe chronic obstructive pulmonary disease
31898008,Paraseptal emphysema
32544004,Chronic obliterative bronchiolitis caused by inhalation of chemical fumes AND/OR vapors
33325001,Compensatory emphysema
360470001,Chronic mucus hypersecretion
37711000,Cadmium pneumonitis
408501008,Emergency hospital admission for chronic obstructive pulmonary disease
417152008,Langerhans cell histiocytosis of lung
425748003,Acute exacerbation of chronic bronchitis
45145000,Unilateral emphysema
47515009,Simple silicosis
49691004,Occupational bronchitis
4981000,Panacinar emphysema
52571006,Chronic tracheobronchitis
57686001,Emphysematous bleb of lung
60805002,Hemolytic anemia with emphysema AND cutis laxa
61937009,Simple chronic bronchitis
63480004,Chronic bronchitis
66110007,Chronic diffuse emphysema caused by inhalation of chemical fumes AND/OR vapors
68328006,Centriacinar emphysema
69921001,Broncholithiasis
74417001,Mucopurulent chronic bronchitis
77690003,Interstitial emphysema of lung
785736001,Chronic bronchitis co-occurrent with wheeze
78723001,Cannabinosis
836477007,Chronic emphysema caused by vapor
840493007,Congenital lobar emphysema of bilateral lungs
84409004,Fetid chronic bronchitis
847091000000104,Acute non-infective exacerbation of chronic obstructive pulmonary disease
86680006,Ruptured emphysematous bleb of lung
87433001,Pulmonary emphysema
89549007,Catarrhal bronchitis
