code,term
1010712009,Autosomal dominant Emery-Dreifuss muscular dystrophy
10394003,Friedreich ataxia
107557061000119108,Cerebrovascular accident due to embolism of bilateral anterior cerebral arteries
1089411000000104,Cerebral infarction due to occlusion of cerebral artery
1089421000000105,Cerebral infarction due to stenosis of cerebral artery
110270004,Sequela of infection caused by Human poliovirus
111297002,Nonparalytic stroke
111501005,Congenital hereditary muscular dystrophy
111502003,Fukuyama congenital muscular dystrophy
111503008,Merosin deficient congenital muscular dystrophy
111504002,Walker-Warburg congenital muscular dystrophy
111505001,"Muscle-eye-brain disease, congenital muscular dystrophy"
111508004,Emery-Dreifuss muscular dystrophy
1153543002,Occlusion of anterior cerebral artery
1153544008,Occlusion of right anterior cerebral artery
1153545009,Occlusion of left anterior cerebral artery
1153546005,Occlusion of bilateral posterior cerebral arteries
1153607003,Occlusion of right posterior communicating artery
1153608008,Occlusion of left posterior communicating artery
1153611009,Embolism of left anterior cerebral artery
1153612002,Embolism of right anterior cerebral artery
1153630009,Embolism of left carotid artery
1153631008,Embolism of right carotid artery
1153632001,Embolism of bilateral middle cerebral arteries
1153633006,Embolism of bilateral posterior cerebral arteries
1153634000,Embolism of bilateral anterior cerebral arteries
1153638002,Occlusion of bilateral cerebellar arteries
1155688007,Embolism of bilateral carotid arteries
1155689004,Embolism of bilateral cerebellar arteries
1155697006,Embolism of left vertebral artery
1155698001,Embolism of right vertebral artery
1155699009,Embolism of bilateral vertebral arteries
1156016006,Thrombosis of left posterior cerebral artery
1156017002,Thrombosis of right posterior cerebral artery
1156018007,Thrombosis of left cerebellar artery
1156019004,Thrombosis of right cerebellar artery
1156027008,Thrombus of dural sinus in pregnancy
1156029006,Thrombus of dural sinus in puerperium
1156768008,Ovarioleukodystrophy
1156848009,Autosomal recessive Emery-Dreifuss muscular dystrophy
116288000,Paralytic stroke
1163482004,Hemorrhagic cerebral infarction caused by Aspergillus
1172588008,"Early-onset progressive encephalopathy, spastic ataxia, distal spinal muscular atrophy syndrome"
1172688004,"Congenital muscular dystrophy, respiratory failure, skin abnormalities, joint hyperlaxity syndrome"
1172689007,Prenatal-onset spinal muscular atrophy with congenital bone fractures
1177122009,Myotonic dystrophy
117776611000119102,Cerebrovascular accident due to occlusion of left posterior communicating artery
1187534001,Electron transfer flavoprotein-ubiquinone oxidoreductase deficiency
1187541007,Beta chain electron transfer flavoprotein deficiency
1187542000,Alpha chain electron transfer flavoprotein deficiency
1197363004,Pediatric arterial ischemic stroke
1197523001,Autosomal dominant amyotrophic lateral sclerosis type 1
1197524007,Autosomal recessive amyotrophic lateral sclerosis type 1
1201863001,Amyotrophic lateral sclerosis type 1
1201947005,Juvenile amyotrophic lateral sclerosis type 2
1201950008,Amyotrophic lateral sclerosis type 3
1201961000,Juvenile amyotrophic lateral sclerosis type 5
1204202004,Occlusion of cerebral artery due to infection
1204334005,Amyotrophic lateral sclerosis type 6
1204349002,Amyotrophic lateral sclerosis type 7
1204350002,Amyotrophic lateral sclerosis type 8
1204351003,Amyotrophic lateral sclerosis type 9
1208412003,Amyotrophic lateral sclerosis type 10
1208615009,Neurogenic scapuloperoneal syndrome Kaeser type
1208620009,Multiple mitochondrial dysfunctions syndrome type 3
1208871009,Transient ischemic attack co-occurrent with subarachnoid hemorrhage
1212005,Childhood type dermatomyositis
12204031000119101,Cerebrovascular accident following procedure on heart
1230273004,Megaconial congenital muscular dystrophy
1231168008,Malignant middle cerebral artery syndrome
124122005,Deficiency of 3-hydroxyacyl-CoA dehydrogenase
124166007,Deficiency of butyryl-CoA dehydrogenase
124621004,Deficiency of enoyl-coenzyme A hydratase
125081000119106,Cerebral infarction due to occlusion of precerebral artery
1259038005,Autosomal dominant complex hereditary spastic paraplegia
1259121008,"Amyotrophic lateral sclerosis, parkinsonism, dementia complex of West New Guinea"
1259122001,Amyotrophic lateral sclerosis with parkinsonism
1259123006,"Amyotrophic lateral sclerosis, parkinsonism, dementia complex of Kii Peninsula"
1259124000,Amyotrophic lateral sclerosis with frontotemporal dementia
1259125004,Amyotrophic lateral sclerosis with multiple system atrophy
1259126003,Amyotrophic lateral sclerosis with autonomic dysfunction
1259127007,Amyotrophic lateral sclerosis with cerebellar dysfunction
1259129005,Amyotrophic lateral sclerosis with spinocerebellar ataxia
1259499007,Dementia due to hemorrhagic cerebral infarction due to hypertension
1260271009,Hemorrhagic cerebral infarction due to hypertension
1260381005,Parkinsonism caused by dopamine depleting agent
1260386000,Hemichorea due to cerebral infarction
1260405004,Hemichorea due to cerebral hemorrhage
1263497002,Motor neuron disease due to neoplastic disease
1263531001,Motor neuron disease due to and following radiotherapy to spinal cord
1263534009,Motor neuron disease due to herpes zoster
1263535005,Motor neuron disease due to human immunodeficiency virus infection
1263536006,Motor neuron disease due to hereditary spastic paraplegia
1263538007,Motor neuron disease due to gammopathy
1263550001,Infarction of brain due to migraine
1269231008,Lipoyl transferase 2 deficiency
1269237007,Cerebrovascular accident due to thrombosis of anterior cerebral artery
1269238002,Thrombosis of anterior cerebral artery
1269239005,Thrombosis of left anterior cerebral artery
1269240007,Thrombosis of right anterior cerebral artery
1269243009,Thrombosis of bilateral carotid arteries
1269244003,Thrombosis of bilateral cerebellar arteries
1269245002,Thrombosis of bilateral posterior cerebral arteries
1269246001,Thrombosis of bilateral vertebral arteries
1269248000,Cerebrovascular accident due to occlusion of anterior choroidal artery
1279529002,Weakness of facial muscle due to and following non-traumatic intracranial subarachnoid hemorrhage
1279839002,Spinocerebellar ataxia type 46
1279840000,Spinocerebellar ataxia type 45
128212001,"Spinal muscular atrophy, type II"
128213006,Neuromuscular junction disorder
128596003,Medium-chain acyl-coenzyme A dehydrogenase deficiency
137592291000119101,Acute cerebrovascular accident due to occlusion of right posterior cerebral artery
140921000119102,Ischemic stroke without coma
14289006,Myopathy in hypopituitarism
14309005,Anterior choroidal artery syndrome
14637005,Late-infantile neuronal ceroid lipofuscinosis
152148641000119104,Cerebrovascular accident due to embolism of bilateral carotid arteries
15258001,Subclavian steal syndrome
15978431000119106,Thrombosis of right vertebral artery
15982351000119103,Weakness of right facial muscle due to and following non-traumatic intracranial subarachnoid hemorrhage
15982471000119100,Weakness of left facial muscle due to and following non-traumatic intracranial subarachnoid hemorrhage
16000351000119109,Cerebrovascular accident due to occlusion of left posterior cerebral artery
16000391000119104,Cerebrovascular accident due to occlusion of right posterior cerebral artery
16000431000119109,Cerebrovascular accident due to occlusion of right middle cerebral artery
16000511000119103,Cerebrovascular accident due to occlusion of left middle cerebral artery
16002031000119102,Cerebrovascular accident due to thrombus of right middle cerebral artery
