code,term,dmd_id,dmd_type,bnf_code
36144011000001106,Trimethoprim 100mg/5ml solution for injection ampoules,36144011000001106,VMP,0501080W0AAAAAA
324430000,Trimethoprim 100mg tablets,324430000,VMP,0501080W0AAADAD
710811000001108,Trimethoprim 100mg tablets,710811000001108,AMP,0501080W0AAADAD
897711000001103,Trimethoprim 100mg tablets,897711000001103,AMP,0501080W0AAADAD
250811000001106,Trimethoprim 100mg tablets,250811000001106,AMP,0501080W0AAADAD
9800011000001105,Trimethoprim 100mg tablets,9800011000001105,AMP,0501080W0AAADAD
10414811000001100,Trimethoprim 100mg tablets,10414811000001100,AMP,0501080W0AAADAD
16070411000001101,Trimethoprim 100mg tablets,16070411000001101,AMP,0501080W0AAADAD
28917911000001104,Trimethoprim 100mg tablets,28917911000001104,AMP,0501080W0AAADAD
30106111000001102,Trimethoprim 100mg tablets,30106111000001102,AMP,0501080W0AAADAD
40487211000001107,Trimethoprim 100mg tablets,40487211000001107,AMP,0501080W0AAADAD
426711000001103,Trimethoprim 100mg tablets,426711000001103,AMP,0501080W0AAADAD
30942111000001106,Trimethoprim 100mg tablets,30942111000001106,AMP,0501080W0AAADAD
39921811000001107,Trimethoprim 100mg tablets,39921811000001107,AMP,0501080W0AAADAD
17865911000001106,Trimethoprim 100mg tablets,17865911000001106,AMP,0501080W0AAADAD
46511000001102,Trimethoprim 100mg tablets,46511000001102,AMP,0501080W0AAADAD
6038911000001109,Trimethoprim 100mg tablets,6038911000001109,AMP,0501080W0AAADAD
15199811000001106,Trimethoprim 100mg tablets,15199811000001106,AMP,0501080W0AAADAD
121511000001103,Trimethoprim 100mg tablets,121511000001103,AMP,0501080W0AAADAD
21906211000001102,Trimethoprim 100mg tablets,21906211000001102,AMP,0501080W0AAADAD
324431001,Trimethoprim 200mg tablets,324431001,VMP,0501080W0AAAEAE
339211000001107,Trimethoprim 200mg tablets,339211000001107,AMP,0501080W0AAAEAE
20170611000001102,Trimethoprim 200mg tablets,20170611000001102,AMP,0501080W0AAAEAE
15911000001106,Trimethoprim 200mg tablets,15911000001106,AMP,0501080W0AAAEAE
112111000001106,Trimethoprim 200mg tablets,112111000001106,AMP,0501080W0AAAEAE
9799411000001106,Trimethoprim 200mg tablets,9799411000001106,AMP,0501080W0AAAEAE
10415011000001105,Trimethoprim 200mg tablets,10415011000001105,AMP,0501080W0AAAEAE
16071011000001101,Trimethoprim 200mg tablets,16071011000001101,AMP,0501080W0AAAEAE
28988711000001102,Trimethoprim 200mg tablets,28988711000001102,AMP,0501080W0AAAEAE
30106311000001100,Trimethoprim 200mg tablets,30106311000001100,AMP,0501080W0AAAEAE
40487411000001106,Trimethoprim 200mg tablets,40487411000001106,AMP,0501080W0AAAEAE
664011000001104,Trimethoprim 200mg tablets,664011000001104,AMP,0501080W0AAAEAE
416811000001104,Trimethoprim 200mg tablets,416811000001104,AMP,0501080W0AAAEAE
