code,term
63491006,Intermittent claudication (finding)
127014009,Diabetic peripheral angiopathy (disorder)
233958001,Peripheral ischemia (disorder)
233961000,Lower limb ischemia (disorder)
233962007,Critical lower limb ischemia (disorder)
275520000,Claudication (finding)
300917007,Ischemia of feet (disorder)
301755001,Ischemic foot (disorder)
307408003,Ischemic toe (disorder)
312822006,Critical ischemia of foot (disorder)
314902007,Type 2 diabetes mellitus with peripheral angiopathy (disorder)
399957001,Peripheral arterial occlusive disease (disorder)
400047006,Peripheral vascular disease (disorder)
31211000119101,Peripheral angiopathy due to type 1 diabetes mellitus (disorder)
34881000119105,Peripheral vascular disease associated with another disorder (disorder)
