code,term
325426006,PrescribedOralSteroids DM+D 325426006
325427002,PrescribedOralSteroids DM+D 325427002
325442004,PrescribedOralSteroids DM+D 325442004
325443009,PrescribedOralSteroids DM+D 325443009
325444003,PrescribedOralSteroids DM+D 325444003
325450008,PrescribedOralSteroids DM+D 325450008
28799011000001100,PrescribedOralSteroids DM+D 28799011000001102
28799811000001100,PrescribedOralSteroids DM+D 28799811000001108
28808411000001100,PrescribedOralSteroids DM+D 28808411000001103
28808611000001100,PrescribedOralSteroids DM+D 28808611000001100
28808711000001100,PrescribedOralSteroids DM+D 28808711000001109
29424511000001100,PrescribedOralSteroids DM+D 29424511000001109
29904211000001100,PrescribedOralSteroids DM+D 29904211000001102
32611811000001100,PrescribedOralSteroids DM+D 32611811000001105
32652311000001100,PrescribedOralSteroids DM+D 32652311000001103
32652511000001100,PrescribedOralSteroids DM+D 32652511000001109
32781411000001100,PrescribedOralSteroids DM+D 32781411000001102
39722711000001103,VMP subsequent to 325444003
42086811000001106,VMP subsequent to 325426006
42086911000001101,VMP subsequent to 325442004
42087011000001102,VMP subsequent to 325450008
42087211000001107,VMP subsequent to 325443009
42087311000001104,VMP subsequent to 325427002
