code,term,dmd_id,dmd_type,bnf_code
324520007,Metronidazole 200mg/5ml oral suspension,324520007,VMP,0501110C0AAAEAE
271811000001101,Metronidazole 200mg/5ml oral suspension,271811000001101,AMP,0501110C0AAAEAE
341811000001106,Metronidazole 200mg/5ml oral suspension,341811000001106,AMP,0501110C0AAAEAE
24384411000001108,Metronidazole 200mg/5ml oral suspension,24384411000001108,AMP,0501110C0AAAEAE
34745911000001108,Metronidazole 200mg/5ml oral suspension,34745911000001108,AMP,0501110C0AAAEAE
113911000001102,Metronidazole 200mg/5ml oral suspension,113911000001102,AMP,0501110C0AAAEAE
37149811000001104,Metronidazole 200mg/5ml oral suspension,37149811000001104,AMP,0501110C0AAAEAE
11599611000001102,Metronidazole 200mg/5ml oral suspension,11599611000001102,AMP,0501110C0AAAEAE
29920411000001104,Metronidazole 200mg/5ml oral suspension,29920411000001104,AMP,0501110C0AAAEAE
21799811000001104,Metronidazole 200mg/5ml oral suspension,21799811000001104,AMP,0501110C0AAAEAE
21309911000001104,Metronidazole 200mg/5ml oral suspension,21309911000001104,AMP,0501110C0AAAEAE
324517004,Metronidazole 500mg suppositories,324517004,VMP,0501110C0AAAGAG
324518009,Metronidazole 1g suppositories,324518009,VMP,0501110C0AAAHAH
324511003,Metronidazole 200mg tablets,324511003,VMP,0501110C0AAAIAI
657311000001103,Metronidazole 200mg tablets,657311000001103,AMP,0501110C0AAAIAI
703011000001105,Metronidazole 200mg tablets,703011000001105,AMP,0501110C0AAAIAI
367011000001101,Metronidazole 200mg tablets,367011000001101,AMP,0501110C0AAAIAI
10690011000001102,Metronidazole 200mg tablets,10690011000001102,AMP,0501110C0AAAIAI
10394111000001104,Metronidazole 200mg tablets,10394111000001104,AMP,0501110C0AAAIAI
20189711000001104,Metronidazole 200mg tablets,20189711000001104,AMP,0501110C0AAAIAI
24384611000001108,Metronidazole 200mg tablets,24384611000001108,AMP,0501110C0AAAIAI
14162711000001100,Metronidazole 200mg tablets,14162711000001100,AMP,0501110C0AAAIAI
727811000001101,Metronidazole 200mg tablets,727811000001101,AMP,0501110C0AAAIAI
35843111000001100,Metronidazole 200mg tablets,35843111000001100,AMP,0501110C0AAAIAI
461811000001105,Metronidazole 200mg tablets,461811000001105,AMP,0501110C0AAAIAI
30830211000001108,Metronidazole 200mg tablets,30830211000001108,AMP,0501110C0AAAIAI
19193811000001100,Metronidazole 200mg tablets,19193811000001100,AMP,0501110C0AAAIAI
786711000001104,Metronidazole 200mg tablets,786711000001104,AMP,0501110C0AAAIAI
34612711000001100,Metronidazole 200mg tablets,34612711000001100,AMP,0501110C0AAAIAI
17941711000001106,Metronidazole 200mg tablets,17941711000001106,AMP,0501110C0AAAIAI
494411000001108,Metronidazole 200mg tablets,494411000001108,AMP,0501110C0AAAIAI
8826911000001104,Metronidazole 200mg tablets,8826911000001104,AMP,0501110C0AAAIAI
15110911000001108,Metronidazole 200mg tablets,15110911000001108,AMP,0501110C0AAAIAI
357811000001101,Metronidazole 200mg tablets,357811000001101,AMP,0501110C0AAAIAI
21800011000001100,Metronidazole 200mg tablets,21800011000001100,AMP,0501110C0AAAIAI
324512005,Metronidazole 400mg tablets,324512005,VMP,0501110C0AAAJAJ
791311000001105,Metronidazole 400mg tablets,791311000001105,AMP,0501110C0AAAJAJ
229911000001106,Metronidazole 400mg tablets,229911000001106,AMP,0501110C0AAAJAJ
780111000001103,Metronidazole 400mg tablets,780111000001103,AMP,0501110C0AAAJAJ
10690211000001108,Metronidazole 400mg tablets,10690211000001108,AMP,0501110C0AAAJAJ
10394511000001108,Metronidazole 400mg tablets,10394511000001108,AMP,0501110C0AAAJAJ
20189911000001108,Metronidazole 400mg tablets,20189911000001108,AMP,0501110C0AAAJAJ
24384811000001104,Metronidazole 400mg tablets,24384811000001104,AMP,0501110C0AAAJAJ
14162911000001104,Metronidazole 400mg tablets,14162911000001104,AMP,0501110C0AAAJAJ
882111000001102,Metronidazole 400mg tablets,882111000001102,AMP,0501110C0AAAJAJ
406911000001106,Metronidazole 400mg tablets,406911000001106,AMP,0501110C0AAAJAJ
30830411000001104,Metronidazole 400mg tablets,30830411000001104,AMP,0501110C0AAAJAJ
19194011000001108,Metronidazole 400mg tablets,19194011000001108,AMP,0501110C0AAAJAJ
723311000001103,Metronidazole 400mg tablets,723311000001103,AMP,0501110C0AAAJAJ
17941911000001108,Metronidazole 400mg tablets,17941911000001108,AMP,0501110C0AAAJAJ
239411000001100,Metronidazole 400mg tablets,239411000001100,AMP,0501110C0AAAJAJ
8827211000001105,Metronidazole 400mg tablets,8827211000001105,AMP,0501110C0AAAJAJ
15111111000001104,Metronidazole 400mg tablets,15111111000001104,AMP,0501110C0AAAJAJ
585011000001109,Metronidazole 400mg tablets,585011000001109,AMP,0501110C0AAAJAJ
650511000001105,Metronidazole 400mg tablets,650511000001105,AMP,0501110C0AAAJAJ
21800211000001104,Metronidazole 400mg tablets,21800211000001104,AMP,0501110C0AAAJAJ
34617211000001104,Metronidazole 500mg/100ml solution for infusion bottles,34617211000001104,VMP,0501110C0AAAKAK
36077111000001104,Metronidazole 500mg/100ml solution for infusion bottles,36077111000001104,AMP,0501110C0AAAKAK
34612511000001104,Metronidazole 500mg/100ml solution for infusion bottles,34612511000001104,AMP,0501110C0AAAKAK
36035611000001104,Metronidazole 500mg/100ml infusion 100ml bags,36035611000001104,VMP,0501110C0AABABA
13408411000001108,Metronidazole 500mg/100ml infusion 100ml Macoflex bags,13408411000001108,AMP,0501110C0AABABA
3617511000001108,Metronidazole 500mg/100ml infusion 100ml bags,3617511000001108,AMP,0501110C0AABABA
3620311000001108,Metronidazole 500mg/100ml infusion 100ml bags,3620311000001108,AMP,0501110C0AABABA
324523009,Metronidazole 500mg tablets,324523009,VMP,0501110C0AABHBH
780211000001109,Metronidazole 500mg tablets,780211000001109,AMP,0501110C0AABHBH
310211000001108,Metronidazole 500mg tablets,310211000001108,AMP,0501110C0AABHBH
329811000001105,Metronidazole 500mg tablets,329811000001105,AMP,0501110C0AABHBH
24385011000001100,Metronidazole 500mg tablets,24385011000001100,AMP,0501110C0AABHBH
15111311000001102,Metronidazole 500mg tablets,15111311000001102,AMP,0501110C0AABHBH
36537511000001104,Metronidazole 500mg tablets,36537511000001104,AMP,0501110C0AABHBH
34607211000001108,Metronidazole 200mg suppositories,34607211000001108,VMP,0501110C0AABJBJ
34605411000001100,Metronidazole 200mg suppositories,34605411000001100,AMP,0501110C0AABJBJ
13007811000001104,Metronidazole 100mg/5ml oral solution,13007811000001104,VMP,0501110C0AABLBL
12961911000001102,Metronidazole 100mg/5ml oral solution,12961911000001102,AMP,0501110C0AABLBL
13008011000001104,Metronidazole 200mg/5ml oral solution,13008011000001104,VMP,0501110C0AABQBQ
12962211000001104,Metronidazole 200mg/5ml oral solution,12962211000001104,AMP,0501110C0AABQBQ
13008111000001106,Metronidazole 50mg/5ml oral solution,13008111000001106,VMP,0501110C0AABRBR
12962811000001104,Metronidazole 50mg/5ml oral solution,12962811000001104,AMP,0501110C0AABRBR
13007911000001108,Metronidazole 100mg/5ml oral suspension,13007911000001108,VMP,0501110C0AABTBT
12960811000001104,Metronidazole 100mg/5ml oral suspension,12960811000001104,AMP,0501110C0AABTBT
13008211000001100,Metronidazole 50mg/5ml oral suspension,13008211000001100,VMP,0501110C0AABUBU
12962511000001100,Metronidazole 50mg/5ml oral suspension,12962511000001100,AMP,0501110C0AABUBU
838811000001103,Flagyl 200mg tablets,838811000001103,AMP,0501110C0BCAAAI
272211000001109,Flagyl 400mg tablets,272211000001109,AMP,0501110C0BCABAJ
3911811000001100,Flagyl 500mg suppositories,3911811000001100,AMP,0501110C0BCADAG
3910511000001105,Flagyl 1g suppositories,3910511000001105,AMP,0501110C0BCAEAH
453711000001106,Flagyl-S 200mg/5ml oral suspension,453711000001106,AMP,0501110C0BCAIAE
3924811000001105,Flagyl Compak,3924811000001105,AMP,0501110C0BCALA8
3619811000001103,Flagyl 500mg/100ml infusion 100ml bags,3619811000001103,AMP,0501110C0BCAMBA
3912311000001100,Metrolyl 500mg suppositories,3912311000001100,AMP,0501110C0BFADAG
3910711000001100,Metrolyl 1g suppositories,3910711000001100,AMP,0501110C0BFAEAH
471211000001101,Norzol 200mg/5ml oral suspension,471211000001101,AMP,0501110C0BKAAAE
324554008,Tinidazole 500mg tablets,324554008,VMP,0501110G0AAABAB
3747511000001105,Fasigyn 500mg tablets,3747511000001105,AMP,0501110G0BBAAAB
41951811000001100,VMP subsequent to 324518009,41951811000001100,VMP,0501110C0AAAHAH
41951911000001105,VMP subsequent to 324511003,41951911000001105,VMP,0501110C0AAAIAI
41952011000001103,VMP subsequent to 324520007,41952011000001103,VMP,0501110C0AAAEAE
41952111000001102,VMP subsequent to 324512005,41952111000001102,VMP,0501110C0AAAJAJ
41952211000001108,VMP subsequent to 324517004,41952211000001108,VMP,0501110C0AAAGAG
41952311000001100,VMP subsequent to 324523009,41952311000001100,VMP,0501110C0AABHBH
41956011000001104,VMP subsequent to 324554008,41956011000001104,VMP,0501110G0AAABAB
