code,term
138859007,H/O: penicillin allergy
158009006,Adverse reaction to penicillins
15911801000119104,Allergic reaction caused by penicillin
161591004,History of penicillin allergy
218258003,Adverse reaction to penicillins
218259006,Adverse reaction to natural penicillins
218277001,Adverse reaction to penicillin NOS
222951008,[X]Penicillins causing adverse effects in therapeutic use
238815002,Infectious mononucleosis ampicillin reaction
241938005,Penicillin-induced anaphylaxis
277785006,Penicillin-induced angioedema-urticaria
292954005,Penicillin adverse reaction
292955006,Penicillinase-sensitive penicillins adverse reaction
292956007,Benethamine penicillin adverse reaction
292957003,Benzathine penicillin adverse reaction
292958008,Phenethicillin adverse reaction
292959000,Phenoxymethylpenicillin adverse reaction
292960005,Procaine penicillin adverse reaction
292961009,Benzylpenicillin adverse reaction
292962002,Penicillinase-resistant penicillins adverse reaction
292963007,Cloxacillin adverse reaction
292964001,Flucloxacillin adverse reaction
292965000,Methicillin adverse reaction
292966004,Broad spectrum penicillins adverse reaction
292967008,Amoxycillin adverse reaction
292968003,Ampicillin adverse reaction
292969006,Ciclacillin adverse reaction
292970007,Mezlocillin adverse reaction
292971006,Pivampicillin adverse reaction
292972004,Carbenicillin adverse reaction
292973009,Bacampicillin adverse reaction
292974003,Talampicillin adverse reaction
292975002,Antipseudomonal penicillins adverse reaction
292976001,Temocillin adverse reaction
292977005,Piperacillin adverse reaction
292978000,Azlocillin adverse reaction
292979008,Ticarcillin adverse reaction
292980006,Carfecillin adverse reaction
292981005,Mecillinam adverse reaction
292982003,Pivmecillinam adverse reaction
292983008,Combined penicillin preparation adverse reaction
292985001,Amoxicillin + clavulanate potassium adverse reaction
292989007,Ticarcillin and clavulanic acid adverse reaction
294494002,Allergy to benethamine penicillin
294495001,Benzathine penicillin allergy
294496000,Allergy to pheneticillin
294497009,Allergy to phenoxymethylpenicillin
294498004,Procaine penicillin allergy
294499007,Allergy to benzylpenicillin
294501004,Allergy to cloxacillin
294502006,Allergy to flucloxacillin
294503001,Allergy to meticillin
294504007,Allergy to broad spectrum penicillin
294505008,Allergy to amoxicillin
294506009,Allergy to ampicillin
294507000,Allergy to ciclacillin
294508005,Allergy to mezlocillin
294509002,Allergy to pivampicillin
294510007,Allergy to carbenicillin
294511006,Allergy to bacampicillin
294512004,Allergy to talampicillin
294514003,Allergy to temocillin
294515002,Allergy to piperacillin
294516001,Allergy to azlocillin
294517005,Allergy to ticarcillin
294518000,Allergy to carfecillin
294519008,Allergy to mecillinam
294520002,Allergy to pivmecillinam
294521003,Combined penicillin preparation allergy
294523000,Allergy to amoxicillin and clavulanate potassium
294527004,Allergy to ticarcillin and clavulanic acid
315782009,[V]Personal history of penicillin allergy
427311000000103,[V]Personal history of penicillin allergy
459361000000108,[X]Penicillins causing adverse effects in therapeutic use
699211000000107,Adverse reaction to penicillin NOS
870730002,Allergy to pivampicillin and/or pivmecillinam
871504007,Adverse reaction to ampicillin and/or cloxacillin
871505008,Allergy to ampicillin and/or flucloxacillin
871506009,Allergy to ampicillin and/or cloxacillin
871508005,Allergy to amoxicillin and/or clavulanic acid
871510007,Adverse reaction to clavulanic acid and/or ticarcillin
871511006,Allergy to clavulanic acid and/or ticarcillin
871512004,Adverse reaction to pivampicillin and/or pivmecillinam
876792003,Adverse reaction to amoxicillin and/or clavulanic acid
876793008,Adverse reaction to ampicillin and/or flucloxacillin
91936005,Allergy to penicillin
