code,term
1004092000,Entrapment of right ulnar nerve at elbow
101000119102,Numbness and tingling sensation of skin
101461000119102,Musculocutaneous nerve palsy
102601005,Perioral numbness
102602003,Paresthesia of skin
102603008,Numbness of skin
103014001,Cervical nerve root pain
103015000,Thoracic nerve root pain
103016004,Lumbosacral nerve root pain
10521000119108,Common peroneal neuropathy at the fibular head
106154007,Fourth cranial nerve finding
106155008,Fifth cranial nerve finding
106157000,Seventh cranial nerve finding
106158005,Eighth cranial nerve finding
106161006,Eleventh cranial nerve finding
11049006,Cervical radiculitis
11060002,Disease related peripheral neuropathy
1119281000,Diffuse unilateral subacute neuroretinitis
112102006,Atypical neuralgia
112821000000109,Neuropathic pain
1149251000,Impaired peripheral neurovascular function
11679003,Radicular pain
1169360001,Chronic relapsing inflammatory optic neuropathy
1172701002,Facial diplegia with paresthesia
1208883006,Acquired weakness of third cranial nerve
1217207008,Congenital oculomotor nerve palsy
12236641000119103,Brachial neuritis of left upper limb
12236681000119108,Brachial neuritis of right upper limb
1231190008,Nuclear oculomotor nerve palsy
1231227006,Neuroretinitis following infectious disease
1231240001,Idiopathic optic neuritis
1231624007,Third cranial nerve weakness sparing pupil
1231627000,Third cranial nerve weakness involving pupil
1231751000,Recurrent idiopathic neuroretinitis
123253007,Neuralgia
123254001,Neuritis
1258954001,Lumbar radicular pain
1259063005,Acute sensory polyneuropathy
1260382003,Lesion of trigeminal ganglion
1263551002,Inflammation of lumbosacral plexus
1263579008,Idiopathic disorder of lumbosacral plexus
128078004,Polyradiculoneuropathy
128189008,Mononeuropathy
128192007,Peripheral neuritis
128194008,Superficial peroneal nerve disorder
128195009,Deep peroneal neuropathy
128196005,Lumbar radiculopathy
128197001,Sacral radiculopathy
128214000,Infectious disorder of the peripheral nervous system
129131007,Acute infective polyneuritis
129616004,Porphyric polyneuropathy
1332371005,Inflammation of peripheral nerve of ankle
1332372003,Inflammation of peripheral nerve of upper limb
135873002,Transient paresthesia
139519005,Pins and needles
139520004,Pricking: [sensation] or [has sensation]
139521000,Tingling: [sensation] or [has sensation]
139522007,Numbness: [has] or [sensation]
139524008,C/O paraesthesia
139775008,Pricking pain
140909003,O/E - paraesthesia present
141305005,O/E -cranial nerve 7-palsy-LMN
14786003,Saturday night paralysis
155060008,Inflammatory &/or toxic neuropathy
155070005,Bell's palsy &/or facial palsy
155072002,Mononeuritis of upper limb and mononeuritis multiplex
155074001,Other mononeuritis upper limb &/or causalgia
155075000,Mononeuritis lower limb
155078003,Interdigital neuralgia
155079006,Other mononeuritis lower limb
155080009,Neuropathy: [peripheral] or [polyneuropathy]
155082001,Acute infective polyneuritis (& [Guillain-Barre syndrome])
155085004,Compression neuropathy
155086003,Other peripheral neuropathy
155087007,Other peripheral nerve disease
15633361000119103,Bilateral sciatica
15634791000119106,Paresthesia of right lower limb
15634841000119109,Paresthesia of left lower limb
156642003,Neuritis: [brachial (cervical)] or [brachial] or [cervical] or [ulnar]
156750000,"Neuralgia, neuritis or radiculitis NOS"
156752008,Neuralgia/neuritis - multiple
156753003,Neuralgia/neuritis - shoulder
