code,term,dmd_id,dmd_type,bnf_code
39025611000001101,Phenytoin sodium 100mg capsules,39025611000001101,VMP,0408010Q0AAAAAA
21375311000001102,Phenytoin sodium 100mg capsules,21375311000001102,AMP,0408010Q0AAAAAA
23595311000001103,Phenytoin sodium 100mg capsules,23595311000001103,AMP,0408010Q0AAAAAA
21349411000001108,Phenytoin sodium 100mg capsules,21349411000001108,AMP,0408010Q0AAAAAA
30845411000001100,Phenytoin sodium 100mg capsules,30845411000001100,AMP,0408010Q0AAAAAA
23644911000001104,Phenytoin sodium 100mg capsules,23644911000001104,AMP,0408010Q0AAAAAA
21200911000001107,Phenytoin sodium 100mg capsules,21200911000001107,AMP,0408010Q0AAAAAA
43154811000001108,Phenytoin sodium 100mg capsules,43154811000001108,AMP,0408010Q0AAAAAA
29984911000001105,Phenytoin sodium 100mg capsules,29984911000001105,AMP,0408010Q0AAAAAA
42134411000001104,Phenytoin sodium 25mg capsules,42134411000001104,VMP,0408010Q0AAADAD
21374911000001100,Phenytoin sodium 25mg capsules,21374911000001100,AMP,0408010Q0AAADAD
21348611000001102,Phenytoin sodium 25mg capsules,21348611000001102,AMP,0408010Q0AAADAD
21200511000001100,Phenytoin sodium 25mg capsules,21200511000001100,AMP,0408010Q0AAADAD
43154211000001107,Phenytoin sodium 25mg capsules,43154211000001107,AMP,0408010Q0AAADAD
42134711000001105,Phenytoin sodium 50mg tablets,42134711000001105,VMP,0408010Q0AAAFAF
40411000001103,Phenytoin sodium 50mg tablets,40411000001103,AMP,0408010Q0AAAFAF
206011000001108,Phenytoin sodium 50mg tablets,206011000001108,AMP,0408010Q0AAAFAF
791711000001109,Phenytoin sodium 50mg tablets,791711000001109,AMP,0408010Q0AAAFAF
42134311000001106,Phenytoin sodium 100mg tablets,42134311000001106,VMP,0408010Q0AAAGAG
17111000001104,Phenytoin sodium 100mg tablets,17111000001104,AMP,0408010Q0AAAGAG
18781211000001106,Phenytoin sodium 100mg tablets,18781211000001106,AMP,0408010Q0AAAGAG
