code,term
0408010Q0,Phenytoin sodium
0408010Q0AA,Phenytoin sodium (Systemic)
0408010Q0AAAAAA,Phenytoin sodium 100mg capsules
0408010Q0AAADAD,Phenytoin sodium 25mg capsules
0408010Q0AAAFAF,Phenytoin sodium 50mg tablets
0408010Q0AAAGAG,Phenytoin sodium 100mg tablets
0408010Q0AAAPAP,Phenytoin sodium 50mg capsules
0408010Q0AAAQAQ,Phenytoin sodium 300mg capsules
0408010Q0AAAVAV,Phenytoin sodium 84mg/5ml oral liquid
0408010Q0AAAXAX,Phenytoin sodium 50mg/5ml oral liquid
0408010Q0AAAZAZ,Phenytoin sodium 400mg/5ml oral liquid
0408010Q0AABABA,Phenytoin sodium 54mg/5ml oral suspension
0408010Q0BB,Epanutin (Capsule)
0408010Q0BBACAD,Epanutin 25mg capsules
0408010Q0BBADAP,Epanutin 50mg capsules
0408010Q0BBAEAA,Epanutin 100mg capsules
0408010Q0BBAFAQ,Epanutin 300mg capsules
0408010Z0,Phenytoin
0408010Z0AA,Phenytoin
0408010Z0AAAAAA,Phenytoin 30mg/5ml oral suspension
0408010Z0AAACAC,Phenytoin 50mg chewable tablets
0408010Z0AAALAL,Phenytoin 90mg/5ml oral suspension
0408010Z0AABHBH,Phenytoin 300mg/5ml oral liquid
0408010Z0AABIBI,Phenytoin 90mg/5ml oral solution
0408010Z0BB,Epanutin (Suspension/Tablet)
0408010Z0BBAAAA,Epanutin 30mg/5ml oral suspension
0408010Z0BBABAC,Epanutin Infatabs 50mg chewable tablets
0408010Z0BC,Dilantin
0408010Z0BCAAAC,Dilantin Infatabs 50mg chewable tablets
0408010Z0BCABAA,Dilantin-30 suspension
