code,term
1052298001,Rupture of flexor tendon of hand
1052299009,Rupture of flexor tendon of wrist
1071931000119104,Nontraumatic rupture of extensor tendon of thigh
1072041000119101,Nontraumatic rupture of flexor tendon of thigh
1072081000119106,Nontraumatic rupture of flexor tendon of wrist region
1075991000119103,Nontraumatic rupture of extensor tendon of right foot
1076001000119102,Nontraumatic rupture of extensor tendon of left foot
1076011000119104,Nontraumatic rupture of flexor tendon of right foot
1076021000119106,Nontraumatic rupture of flexor tendon of left foot
1076581000119101,Tendinitis of right shoulder
1076591000119103,Tendinitis of left shoulder
1076621000119101,Tendinitis of right knee
1076631000119103,Tendinitis of right hip adductor muscle
1076641000119107,Tendinitis of left knee
1076651000119109,Tendinitis of left hip adductor muscle
1076671000119100,Tendinitis of right flexor hallucis longus
1076691000119104,Tendinitis of left flexor hallucis longus
11654001,Achilles tendinitis
11767691000119107,Traumatic rupture of distal tendon of left biceps brachii
11777961000119100,Traumatic rupture of distal tendon of right biceps brachii
11828261000119106,Traumatic rupture of right quadriceps tendon
11828341000119101,Traumatic rupture of left quadriceps tendon
11857901000119102,Traumatic rupture of right patellar tendon
11857941000119100,Traumatic rupture of left patellar tendon
12241111000119104,Tendinitis of left elbow
12241151000119103,Tendinitis of left forearm
12241191000119108,Tendinitis of right elbow
12241231000119104,Tendinitis of right forearm
12241511000119106,Nontraumatic rupture of long head of biceps brachii tendon of left shoulder
12241551000119107,Nontraumatic rupture of long head of biceps brachii tendon of right shoulder
1293001008,Nontraumatic rupture of quadriceps tendon
1293002001,Nontraumatic rupture of tendon of shoulder region
1293227003,Nontraumatic rupture of extensor tendon of wrist region
1296953008,Nontraumatic rupture of extensor tendon of left hand
1296954002,Nontraumatic rupture of extensor tendon of right hand
1332029001,Nontraumatic rupture of extensor tendon of foot
1332030006,Nontraumatic rupture of flexor tendon of foot
1343587000,Nontraumatic rupture of tendon of lower leg
1343592003,Nontraumatic rupture of tendon of upper arm
15630571000119109,Tendinitis of right wrist region
15630611000119100,Tendinitis of left wrist region
15630651000119104,Tendinitis of right hand
15630691000119109,Tendinitis of left hand
15630731000119102,Tendinitis of bilateral hands
15637151000119108,Tendinitis of long head of biceps brachii of bilateral shoulders
15638411000119100,Peroneal tendinitis of bilateral lower legs
156663001,(Tendinitis: [ankle/tarsus] or [achilles] or [ankle]) or (calcaneal spur) or (metatarsalgia)
156707005,Tendon rupture &/or non traumatic
156708000,Tendon rupture - multiple
156709008,Tendon rupture - shoulder
156710003,Tendon rupture - elbow
156711004,Tendon rupture - wrist
156712006,Tendon rupture - hand
156713001,Tendon rupture - hip
156714007,Tendon rupture - knee
156715008,Tendon rupture: [ankle &/or foot] or [achilles]
156716009,Tendon rupture NOS
15674641000119105,Tendinitis of bilateral psoas tendons
15674881000119101,Tendinitis of adductor tendon of bilateral hips
15674961000119103,Tendinitis of bilateral hips
15675041000119102,Tendinitis of right supraspinatus tendon
15675081000119107,Tendinitis of bilateral supraspinatus tendons
15675121000119109,Tendinitis of left supraspinatus tendon
15675201000119109,Tendinitis of metatarsophalangeal joint of second toe of left foot
15675281000119101,Tendinitis of metatarsophalangeal joint of second toe of right foot
15675321000119106,Tendinitis of bilateral flexor hallucis longus
15675401000119105,Tendinitis of bilateral feet
15675441000119107,Tendinitis of right foot
15675481000119102,Tendinitis of left foot
15676161000119105,Tendinitis of bilateral pes anserinus tendons
15676241000119103,Tendinitis of bilateral knees
15676401000119104,Tendinitis of flexor tendon of left hand
15676441000119102,Tendinitis of flexor tendon of right hand
15676481000119107,Tendinitis of flexor tendon of bilateral hands
15676521000119107,Tendinitis of extensor tendon of right hand
15676561000119102,Tendinitis of extensor tendon of bilateral hands
15676601000119102,Tendinitis of extensor tendon of left hand
15683361000119109,Bursitis of bilateral calcaneal tendon bursae
15697681000119103,Tendinitis of bilateral ankles
15701041000119100,Nontraumatic rupture of bilateral Achilles tendons
15701321000119109,Nontraumatic rupture of tendon of bilateral shoulders
15701481000119100,Nontraumatic rupture of tendon of bilateral upper arms
15701521000119100,Nontraumatic rupture of extensor tendon of bilateral hands
15701561000119105,Nontraumatic rupture of tendon of bilateral quadriceps muscles
15701641000119107,Nontraumatic rupture of tendon of bilateral lower legs
15701801000119106,Nontraumatic rupture of flexor tendon of right wrist
15702041000119106,Nontraumatic rupture of tendon of right upper arm
15702081000119101,Nontraumatic rupture of tendon of right shoulder
